bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
85.0,588.0,585.0,3.0,99.48979591836735,0.5102040816326507,49962.0,49366.0,596.0,84.86067419593282,98.34983498349835,13.489160787565538,82.82885906040268,238400.0,1480980.0,-1242580.0
86.0,588.0,588.0,0.0,100.0,0.0,50550.0,49954.0,596.0,85.87145239200316,98.34983498349835,12.47838259149519,83.81543624161074,238400.0,1498620.0,-1260220.0
87.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,51138.0,50541.0,597.0,86.88051157753597,98.51485148514851,11.634339907612542,84.65829145728644,238800.0,1516230.0,-1277430.0
88.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,51726.0,51128.0,598.0,87.88957076306878,98.67986798679868,10.790297223729908,85.49832775919732,239200.0,1533840.0,-1294640.0
89.0,587.0,587.0,0.0,100.0,0.0,52313.0,51715.0,598.0,88.89862994860158,98.67986798679868,9.781238038197102,86.4799331103679,239200.0,1551450.0,-1312250.0
90.0,588.0,588.0,0.0,100.0,0.0,52901.0,52303.0,598.0,89.90940814467193,98.67986798679868,8.770459842126755,87.46321070234114,239200.0,1569090.0,-1329890.0
91.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,53489.0,52890.0,599.0,90.91846733020473,98.84488448844884,7.9264171582441065,88.29716193656094,239600.0,1586700.0,-1347100.0
92.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,54077.0,53477.0,600.0,91.92752651573754,99.00990099009901,7.0823744743614725,89.12833333333333,240000.0,1604310.0,-1364310.0
93.0,587.0,587.0,0.0,100.0,0.0,54664.0,54064.0,600.0,92.93658570127035,99.00990099009901,6.073315288828667,90.10666666666667,240000.0,1621920.0,-1381920.0
94.0,588.0,586.0,2.0,99.65986394557824,0.3401360544217624,55252.0,54650.0,602.0,93.94392587626562,99.33993399339934,5.396008117133718,90.78073089700996,240800.0,1639500.0,-1398700.0
95.0,588.0,588.0,0.0,100.0,0.0,55840.0,55238.0,602.0,94.95470407233596,99.33993399339934,4.3852299210633845,91.75747508305648,240800.0,1657140.0,-1416340.0
96.0,588.0,588.0,0.0,100.0,0.0,56428.0,55826.0,602.0,95.9654822684063,99.33993399339934,3.374451724993037,92.734219269103,240800.0,1674780.0,-1433980.0
97.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,57016.0,56413.0,603.0,96.97454145393911,99.5049504950495,2.5304090411103886,93.55389718076285,241200.0,1692390.0,-1451190.0
98.0,587.0,585.0,2.0,99.65928449744463,0.3407155025553692,57603.0,56998.0,605.0,97.98016261839685,99.83498349834983,1.8548208799529817,94.21157024793388,242000.0,1709940.0,-1467940.0
99.0,588.0,588.0,0.0,100.0,0.0,58191.0,57586.0,605.0,98.9909408144672,99.83498349834983,0.844042683882634,95.18347107438017,242000.0,1727580.0,-1485580.0
100.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,58779.0,58173.0,606.0,100.0,100.0,0.0,95.9950495049505,242400.0,1745190.0,-1502790.0
